"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
600,599.963195800781
628.569451673799,628.61474609375
658.499259295834,658.519470214844
689.854197238642,689.810974121094
722.702124155269,722.684997558594
757.114129839612,757.129638671875
793.164689079617,793.156921386719
830.931822836324,830.925964355469
870.497267097564,870.461608886719
911.94664977176,911.92529296875
955.369676004655,955.3828125
1000.86032232003,1000.84930419922
1048.51704000461,1048.52685546875
1098.44296817722,1098.42724609375
1150.74615700349,1150.7685546875
1205.53980153903,1205.54235839844
1262.94248670721,1262.95190429687
1323.07844394183,1323.072265625
1386.0778200499,1386.06713867187
1452.07695887663,1452.0771484375
1521.21869638207,1521.21337890625
1593.65266976801,1593.64770507812
1669.53564132427,1669.53137207031
1749.0318376951,1749.03894042969
1832.31330530005,1832.31726074219
1919.56028267843,1919.55895996094
2010.9615905633,2010.96508789062
2106.71504052908,2106.71655273437
2207.02786309718,2207.0302734375
2312.11715622632,2312.12329101562
2422.21035515793,2422.2158203125
2537.5457246337,2537.53198242187
2658.37287455033,2658.37939453125
2784.95330016767,2784.95556640625
2917.56094803921,2917.56225585937
3056.48280888982,3056.48510742187
3202.01953872378,3202.01806640625
3354.48610950733,3354.49462890625
3514.212490834,3514.21411132812
3681.5443640479,3681.54565429687
3856.84387037059,3856.84301757812
4040.49039465049,4040.49072265625
4232.88138643118,4232.88330078125
4434.43322011546,4434.439453125
4645.58209608676,4645.587890625
4866.78498473812,4866.7900390625
5098.52061545186,5098.52001953125
5341.29051267022,5341.294921875
5595.62008129931,5595.6201171875
5862.05974379534,5862.06298828125
6141.18613139415,6141.1884765625
6433.60333206193,6433.60498046875
6739.94419786816,6739.94482421875
7060.87171460998,7060.87158203125
7397.08043665239,7397.0810546875
7749.29799008929,7749.29833984375
8118.28664747883,8118.2861328125
8504.84497756082,8504.841796875
8909.80957352678,8909.7744140625
9334.05686358281,9334.05078125
9778.50500772385,9778.5
10244.1158848241,10244.1123046875
10731.8971743446,10731.8916015625
11242.9045371623,11242.900390625
11778.2439002416,11778.24609375
12339.0738500919,12339.0693359375
12926.6081401913,12926.60546875
13542.1183178035,13542.1162109375
14186.9364758724,14186.9384765625
14862.4581359502,14862.458984375
15570.1452683984,15570.1474609375
16311.5294563976,16311.4169921875
17088.2152106148,17083.677734375
17901.8834417,17901.888671875
18754.2950981294,18754.302734375
19647.2949772663,19647.3828125
20582.8157178895,20582.818359375
21562.8819828277,21562.884765625
22589.6148407548,22589.61328125
23665.2363566259,23665.23046875
24792.074400692,24792.0703125
25972.5676864983,25972.5625
27209.2710487714,27209.2734375
28504.8609726167,28504.859375
29862.1413859926,29862.14453125
31284.049727998,31284.056640625
32773.663306106,32773.66015625
34334.2059561012,34334.203125
35969.0550191364,35969.05078125
37681.7486510054,37681.73828125
39475.993479454,39475.9921875
41355.6726260981,41355.671875
43324.8541103127,43324.859375
45387.7996532776,45387.8046875
47548.9739012349,47548.9765625
49813.0540879183,49813.05078125
52184.9401570669,52184.9375
54669.7653669292,54669.7578125
57272.9073997099,57272.9140625
59999.9999999998,60000.00390625

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
600,-35.7378982192766
628.569451673799,-34.8870519007315
658.499259295834,-34.0708959754573
689.854197238642,-33.2545955327808
722.702124155269,-32.4382504772377
757.114129839612,-31.6212683590634
793.164689079617,-30.8021675458297
830.931822836324,-29.9835596956962
870.497267097564,-29.1622651835449
911.94664977176,-28.3413656936422
955.369676004655,-27.5201219219395
1000.86032232003,-26.6953667536206
1048.51704000461,-25.8698438414834
1098.44296817722,-25.0422062998607
1150.74615700349,-24.2140581199633
1205.53980153903,-23.3824292185425
1262.94248670721,-22.5498296691041
1323.07844394183,-21.7150336396002
1386.0778200499,-20.8782773547818
1452.07695887663,-20.0398610628898
1521.21869638207,-19.1977132163631
1593.65266976801,-18.3533290338099
1669.53564132427,-17.5072072514108
1749.0318376951,-16.6583990346003
1832.31330530005,-15.8072239415462
1919.56028267843,-14.9537482769413
2010.9615905633,-14.0989126369966
2106.71504052908,-13.2425964224898
2207.02786309718,-12.3851857790146
2312.11715622632,-11.5282277617192
2422.21035515793,-10.6731954984266
2537.5457246337,-9.82144841242393
2658.37287455033,-8.97430041981694
2784.95330016767,-8.12959596188284
2917.56094803921,-7.32142671870202
3056.48280888982,-6.51234510963247
3202.01953872378,-5.72564936096447
3354.48610950733,-4.96712180849379
3514.212490834,-4.24291139371256
3681.5443640479,-3.56176309928791
3856.84387037059,-2.93092103272537
4040.49039465049,-2.358121025128
4232.88138643118,-1.82955762826158
4434.43322011546,-1.40712380426902
4645.58209608676,-1.03327748118002
4866.78498473812,-0.727222016655316
5098.52061545186,-0.484276177517866
5341.29051267022,-0.299709892133698
5595.62008129931,-0.166731569311001
5862.05974379534,-0.0775550787857335
6141.18613139415,-0.0256707984671812
6433.60333206193,-0.00241649310230065
6739.94419786816,-0.000788249026514229
7060.87171460998,-0.0162513565441093
7397.08043665239,-0.0445253658637827
7749.29799008929,-0.0827987692622398
8118.28664747883,-0.127254014511438
8504.84497756082,-0.174814339098388
8909.80957352678,-0.223492808111304
9334.05686358281,-0.273006467589218
9778.50500772385,-0.322760688370157
10244.1158848241,-0.370304531487637
10731.8971743446,-0.415192501463904
11242.9045371623,-0.458993210559987
11778.2439002416,-0.500837551724418
12339.0738500919,-0.539081592805787
12926.6081401913,-0.575332325707349
13542.1183178035,-0.609397665351046
14186.9364758724,-0.641904064787989
14862.4581359502,-0.671180885117733
15570.1452683984,-0.698406974386913
16311.5294563976,-0.723665718030774
17088.2152106148,-0.74763474923395
17901.8834417,-0.768639252422848
18754.2950981294,-0.788455766411944
19647.2949772663,-0.807314604111588
20582.8157178895,-0.823466987564521
21562.8819828277,-0.836365062844305
22589.6148407548,-0.84840069008495
23665.2363566259,-0.859799467928629
24792.074400692,-0.869875512674002
25972.5676864983,-0.87940515045246
27209.2710487714,-0.889523382349297
28504.8609726167,-0.900520261325018
29862.1413859926,-0.91186409290768
31284.049727998,-0.915338595206482
32773.663306106,-0.919345355296216
34334.2059561012,-0.924309704937672
35969.0550191364,-0.929067051741643
37681.7486510054,-0.935269270358243
39475.993479454,-0.94110789790159
41355.6726260981,-0.941911712393806
43324.8541103127,-0.941775632852777
45387.7996532776,-0.943789483222062
47548.9739012349,-0.947974869804441
49813.0540879183,-0.952001315441911
52184.9401570669,-0.948639685139936
54669.7653669292,-0.945393662196639
57272.9073997099,-0.945944538851671
59999.9999999998,-0.949817745662153

